id,signal_id,chain,token_address,token_symbol,signal_type,strength,signal_price,signal_time,entry_price,entry_time,size_usd,exit_price,exit_time,exit_reason,pnl_usd,pnl_pct,peak_price,hard_stop_pct,whale_count,whale_tiers,safety_score,momentum_score,composite_score,price_change_5m,price_change_1h,price_change_6h,buys_5m,sells_5m,buys_h1,sells_h1,buy_sell_ratio_5m,buy_sell_ratio_h1,volume_5m,volume_h1,volume_h6,liquidity_usd,mcap_usd,fdv,age_minutes,dex_id,dexscreener_url,has_twitter,has_telegram,has_website,rugcheck_score,buy_tax,sell_tax,notes,config_tag,tp_levels_hit,realized_partial_usd,remaining_fraction,accounting_epoch
L310f519,2b62d60a,solana,8oGoTGPstdxKqe7EHUsboWbz4rbkaPG4FFX38CKbpump,Cuakssant,social_alert,strong,1.101e-05,2026-06-19 16:54:30,1.9252211423965976e-05,2026-06-19 16:54:30,6,1.204e-05,2026-06-19 16:54:56,trailing_stop,0.2266,-37.46,4.450407026863301e-05,-0.35,0,,0.5,0.8,0.71,371.0,371.0,371.0,217,142,217,142,0.604,0.604,14189.4,14189.4,14189.4,0.0,11017.71,11017.71,1.5,pumpfun,https://dexscreener.com/solana/ajvqkpf25l9mmarsvr2wcqakfxxtcylcxbkgy6uxsq7f,False,False,False,0.0,0.0,0.0,live|tx:5XDrX8ebpHuRDKC3REzyau3DwvfK4PLHcAKmcPqQ8rx76VkMBALJJTFSZZzH3Cg4meTNUTPtLjvvoz2vab2dgMUU|fill:0.0000192522|slip:+74.9%|cohort:graduated|sell_tx:5rHyYxkLECDsHL2PQUrbbTpKa25vtSBqYs3rso2MWxyd4JzuaTFugFDo3A7nBxbTKe4gvP9uiM621fcK8rirAJWw|sell_fill:0.0000120400|sell_step:2,v7_entry_filters_2026-06-06,tp_100,1.8,0.7,e4_rt_feed_quote_gate
9ba9abab,c89565db,solana,81VTdBe1cZ11NNAGweAq4qAKZdJtQPCG7h5xrGjBpump,Derp,social_alert,strong,1.294e-05,2026-06-19 18:26:08,1.8861657022669385e-05,2026-06-19 18:26:08,6,1.8319127460940452e-05,2026-06-19 18:26:46,trailing_stop,1.6792,-2.88,4.377027687918295e-05,-0.35,0,,0.6,0.8,0.74,124.0,386.0,386.0,189,122,259,168,0.608,0.607,9223.6,15804.4,15804.4,0.0,12946.36,12946.36,6.2,pumpfun,https://dexscreener.com/solana/ei21zfqfzch8da4qzewqnyivzge3my4vesa2esxpstgc,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,tp_100,1.8,0.7,e4_rt_feed_quote_gate
33ddf9d6,c5b5c561,solana,9DWWHsC6F9G2NqNg7mmLc7fzY8iKs8PRj1zoAaMjpump,GOY,social_alert,strong,1.168e-05,2026-06-19 19:34:14,1.168e-05,2026-06-19 19:34:14,3,1.223e-05,2026-06-19 19:38:06,trailing_stop,0.1413,4.71,2.299e-05,-0.35,0,,0.5,0.8,0.71,175.0,175.0,175.0,137,91,137,91,0.601,0.601,9121.51,9121.51,9121.51,0.0,11689.8,11689.8,2.2,pumpfun,https://dexscreener.com/solana/7qdtyin5y2nv4lbv1i3kcpu2frzhhlf7xsvewyprhbin,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
131b32e5,b8916d46,solana,6cEyr9BNWmtqyAQ7nWWCGvAFv7nxrjQJ3MaMn7Hipump,BUNK,social_alert,strong,7.699e-06,2026-06-19 23:50:21,7.699e-06,2026-06-19 23:50:21,3,3.302e-05,2026-06-19 23:52:53,trailing_stop,7.6246,328.89,3.984e-05,-0.35,0,,0.5,0.8,0.71,125.0,191.0,191.0,57,30,173,132,0.655,0.567,4453.75,16412.97,16412.97,0.0,7699.24,7699.24,6.5,pumpfun,https://dexscreener.com/solana/bvoxf1wjqqamusxlifru6ccavzdc4fn6gh36vjump7zl,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,"tp_100,tp_300",2.79,0.49,e4_rt_feed_quote_gate
183e32d9,d0499d3b,solana,6nqJGCtvXeK8cyXZGK6r5MzK7sNdh83ekbXajaRpump,misantropi4,social_alert,strong,8.842e-06,2026-06-20 06:31:50,8.842e-06,2026-06-20 06:31:50,3,1.482e-05,2026-06-20 06:35:59,trailing_stop,2.3198,67.61,2.637e-05,-0.35,0,,0.5,0.8,0.71,243.0,243.0,243.0,49,12,49,12,0.803,0.803,6678.06,6678.06,6678.06,0.0,8842.06,8842.06,0.9,pumpfun,https://dexscreener.com/solana/dxvqgat9fhttwtzkp3utjwx7twnelavbznajpgfzvtrm,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,tp_100,0.9,0.7,e4_rt_feed_quote_gate
eaa456ce,a64fd792,solana,B9htvTDHSUupH2LuLH3ZPsVPisxnYy5ZdRuTd8r6pump,OPTA.,social_alert,medium,1.816e-05,2026-06-20 09:45:28,1.816e-05,2026-06-20 09:45:28,3,1.107e-05,2026-06-20 09:50:06,hard_stop,-1.1713,-39.04,2.833e-05,-0.35,0,,0.5,0.8,0.71,175.0,648.0,648.0,161,121,251,168,0.571,0.599,12405.13,18981.17,18981.17,0.0,18168.74,18168.74,12.5,pumpfun,https://dexscreener.com/solana/guprxzcbycmthbirggnc4sh8btcztzkxqgvyzb4q69uv,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
1d38d511,6abe6508,solana,HoeQcoQwBA1p2A3jd9AB62d25MUWZiydAxku4P73pump,PATRICK,social_alert,strong,1.212e-05,2026-06-20 15:17:06,1.212e-05,2026-06-20 15:17:06,3,1.364e-05,2026-06-20 15:20:37,trailing_stop,1.1634,12.54,2.7168724597934796e-05,-0.35,0,,0.5,0.8,0.71,370.0,370.0,370.0,196,90,196,90,0.685,0.685,12983.12,12983.12,12983.12,0.0,12121.19,12121.19,1.4,pumpfun,https://dexscreener.com/solana/5eh26asfo6pi2ypffapj4yonrdkt2zb3wcrgu67wafys,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,tp_100,0.9,0.7,e4_rt_feed_quote_gate
41f00cf8,69489a98,solana,7X9e9CM7uM7P1MbnYxae3Dqp2TDCH9sJC33CGsUgpump,JAB,social_alert,strong,1.139e-05,2026-06-20 18:24:31,1.139e-05,2026-06-20 18:24:31,3,1.409682478328762e-05,2026-06-20 18:26:23,trailing_stop,0.7129,23.76,2.192e-05,-0.35,0,,0.5,0.8,0.71,319.0,319.0,319.0,193,119,193,119,0.619,0.619,14269.16,14269.16,14269.16,0.0,11391.8,11391.8,1.3,pumpfun,https://dexscreener.com/solana/6shph48cvyu9vqt6b4nqw9uxt59dymccnauwqujh9kd4,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
c5d91572,4dcb7c99,solana,GV4MhB9AcSLAfp7HN2Ee7f1yHb2FapGrCmSVKxeYpump,Spongebob,social_alert,strong,1.252e-05,2026-06-21 03:50:49,1.252e-05,2026-06-21 03:50:49,3,1.233e-05,2026-06-21 03:53:19,trailing_stop,-0.0455,-1.52,2.03e-05,-0.35,0,,0.6,0.8,0.74,134.0,419.0,419.0,144,102,218,130,0.585,0.626,12370.15,16648.15,16648.15,0.0,12528.33,12528.33,6.6,pumpfun,https://dexscreener.com/solana/47cpqdbfwxynkbbhqnwb43xvnyupeuwzkxgaqnkvhksh,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
0c188b67,7bef3455,solana,BWngwRQe8iKPKeTWaAMWcap37SdzwgkBJaADu3Yxpump,Shiller,social_alert,strong,1.332e-05,2026-06-21 14:29:18,1.332e-05,2026-06-21 14:29:18,3,9.028e-06,2026-06-21 14:30:46,trailing_stop,-0.9667,-32.22,1.769e-05,-0.35,0,,0.5,0.8,0.71,434.0,434.0,434.0,156,83,156,83,0.653,0.653,11692.34,11692.34,11692.34,0.0,13323.0,13323.0,1.5,pumpfun,https://dexscreener.com/solana/ghx47xaphevrvgjv2cmhsx3jdr9q9hyyvqwe9b1iuysl,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
