ts,pos_id,token_symbol,token_mint,token_program,is_token2022,token_extensions,exit_state,exit_reason,route_name,route_order,vsol_at_trigger,vsol_at_sell,migration_age,dex_id,pool_address,simulation_ok,simulation_error,custom_error_code,tx_sent,tx_sig,confirmed,confirm_error,jupiter_price_impact_pct,fallback_used,final_status,error_class,notes
2026-07-09T05:57:11,L122da63,Clicking,D5BELpjEUGVz3KVbFSBNNoJDshNcXo9cACFxRCpJpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T05:58:14,L122da63,Clicking,D5BELpjEUGVz3KVbFSBNNoJDshNcXo9cACFxRCpJpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T10:26:17,L305c8c5,Cal ,5MJSZUkjtnbUDJRtrW61RLR4drgKRqitjLeen1A7pump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T10:27:20,L305c8c5,Cal ,5MJSZUkjtnbUDJRtrW61RLR4drgKRqitjLeen1A7pump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T10:28:25,L305c8c5,Cal ,5MJSZUkjtnbUDJRtrW61RLR4drgKRqitjLeen1A7pump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T10:29:29,L305c8c5,Cal ,5MJSZUkjtnbUDJRtrW61RLR4drgKRqitjLeen1A7pump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T11:24:56,L8e2cbd0,MetaBacteria,9SNoSiaFKTf8ZSsK37g1nEsYHMTVJXxSzJdtcFKjpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T11:26:09,L8e2cbd0,MetaBacteria,9SNoSiaFKTf8ZSsK37g1nEsYHMTVJXxSzJdtcFKjpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T11:27:11,L8e2cbd0,MetaBacteria,9SNoSiaFKTf8ZSsK37g1nEsYHMTVJXxSzJdtcFKjpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T11:28:17,L8e2cbd0,MetaBacteria,9SNoSiaFKTf8ZSsK37g1nEsYHMTVJXxSzJdtcFKjpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T13:14:48,L922aa96,Nutzsche,BehYSQLMq94abNdErKBvYXmdxUKbx2DrNrPn6t7Bpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T13:15:51,L922aa96,Nutzsche,BehYSQLMq94abNdErKBvYXmdxUKbx2DrNrPn6t7Bpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T13:16:56,L922aa96,Nutzsche,BehYSQLMq94abNdErKBvYXmdxUKbx2DrNrPn6t7Bpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T13:17:59,L922aa96,Nutzsche,BehYSQLMq94abNdErKBvYXmdxUKbx2DrNrPn6t7Bpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
