trace_id,pos_id,pair_id,mint,symbol,live_or_paper,started_at,finished_at,duration_sec,n_events,first_event,last_event
tr_pending_1783563152,pending,tg_5TnJDp9ZfCXXmD7q_1783563152,5TnJDp9ZfCXXmD7qshPc7EpoqzptGVANaMYQ1k17VBea,5TnJDp9Z,unknown,2026-07-09T02:12:32.457352+00:00,2026-07-09T02:12:32.475140+00:00,0.02,9,trace_started,trace_finished
tr_pending_1783563152,pending,tg_5TnJDp9ZfCXXmD7q_1783563152,5TnJDp9ZfCXXmD7qshPc7EpoqzptGVANaMYQ1k17VBea,5TnJDp9Z,unknown,2026-07-09T02:12:32.457352+00:00,2026-07-09T02:12:32.475551+00:00,0.02,10,trace_started,trace_finished
tr_pending_1783563152,pending,tg_ETfMBEFAhWtwwe7z_1783563152,ETfMBEFAhWtwwe7zyqpWkqGX5HBdy98CW9LeUVxqyR3h,ETfMBEFA,unknown,2026-07-09T02:12:32.479717+00:00,2026-07-09T02:12:32.520745+00:00,0.04,6,trace_started,trace_finished
tr_pending_1783563152,pending,tg_4Wv22nP8FgAG5HnK_1783563152,4Wv22nP8FgAG5HnK5cSAfX2LZXfT7Bm7aXJysWZSUDAy,4Wv22nP8,unknown,2026-07-09T02:12:32.526210+00:00,2026-07-09T02:12:32.630209+00:00,0.1,6,trace_started,trace_finished
tr_pending_1783563152,pending,tg_H4Nic9z7YURWa71r_1783563152,H4Nic9z7YURWa71rzYVJrqw4h8oUVJc5bfwDhbWysYZs,H4Nic9z7,unknown,2026-07-09T02:12:32.630919+00:00,2026-07-09T02:12:32.679194+00:00,0.05,9,trace_started,trace_finished
tr_pending_1783563152,pending,tg_H4Nic9z7YURWa71r_1783563152,H4Nic9z7YURWa71rzYVJrqw4h8oUVJc5bfwDhbWysYZs,H4Nic9z7,unknown,2026-07-09T02:12:32.630919+00:00,2026-07-09T02:12:32.679825+00:00,0.05,10,trace_started,trace_finished
tr_pending_1783563152,pending,tg_6rrk39a39GwKajDj_1783563152,6rrk39a39GwKajDja37KBbX8ps1TEVq437pE6HzwMw1B,6rrk39a3,unknown,2026-07-09T02:12:32.684127+00:00,2026-07-09T02:12:32.750654+00:00,0.07,6,trace_started,trace_finished
tr_pending_1783563154,pending,tg_7Cz3TgrrngGyBJHG_1783563154,7Cz3TgrrngGyBJHGjCPTYZyySqP7G3q9auG9ERBY9W6b,7Cz3Tgrr,unknown,2026-07-09T02:12:34.641304+00:00,2026-07-09T02:12:34.707222+00:00,0.07,6,trace_started,trace_finished
tr_pending_1783563154,pending,tg_8y83ZUQH8gsbYa9q_1783563154,8y83ZUQH8gsbYa9qEyYF6Wdqw3so7L9ThsWREuCVXWTr,8y83ZUQH,unknown,2026-07-09T02:12:34.785304+00:00,2026-07-09T02:12:34.971266+00:00,0.19,6,trace_started,trace_finished
tr_pending_1783563155,pending,tg_B5WUg5p3VZGgEcjx_1783563155,B5WUg5p3VZGgEcjxWbLE8Ncsp2ZbVK1dmRDVP1xRgfLv,B5WUg5p3,unknown,2026-07-09T02:12:35.206114+00:00,2026-07-09T02:12:35.228719+00:00,0.02,6,trace_started,trace_finished
