timestamp,market_id,question,yes_price,posterior,preferred_side,adjusted_edge,confidence,risk_score,risk_multiplier,volume,liquidity_depth
2026-03-26T12:56:50.078832,540844,Will bitcoin hit $1m before GTA VI?,0.487,0.607671872484302,buy_yes,0.09716499172435998,0.8052,0.29219999999999996,1.0,3766888.023672683,471852.49923
2026-03-26T12:56:50.078842,540881,GTA VI released before June 2026?,0.02,0.025316455696202538,buy_yes,0.005169527280364563,0.9723634646400001,0.031636535359999975,1.0,12871778.593537977,47545.43308
2026-03-26T13:04:09.404806,531202,BitBoy convicted?,0.078,0.09720491365497597,buy_yes,0.008091578415935875,0.42132854962559846,0.5383169707408011,0.6,220227.60183199806,9543.30852
2026-03-26T13:04:09.404836,540816,Russia-Ukraine Ceasefire before GTA VI?,0.54,0.6569858712715856,buy_yes,0.09546047095761381,0.8160000000000001,0.27599999999999997,1.0,1402323.0111889965,100681.7426
2026-03-26T13:04:09.404850,540817,New Rihanna Album before GTA VI?,0.6,0.7099236641221374,buy_yes,0.07880524345648854,0.716908812,0.363091188,0.6,674943.9575090023,34613.6015
2026-03-26T13:04:09.404861,540818,New Playboi Carti Album before GTA VI?,0.66,0.7600297176820209,buy_yes,0.0743441110228351,0.7432202424000001,0.3247797576,0.6,709197.1664419994,34902.5303
2026-03-26T13:04:09.404872,540819,Will Jesus Christ return before GTA VI?,0.49,0.6105305466237941,buy_yes,0.0969065594855305,0.804,0.294,1.0,10161235.757563114,863422.4782
2026-03-26T13:04:09.404881,540820,Trump out as President before GTA VI?,0.53,0.6478706624605679,buy_yes,0.09571097791798112,0.812,0.282,1.0,554659.1589150083,126897.8169
2026-03-26T13:04:09.404890,540843,Will China invades Taiwan before GTA VI?,0.52,0.6386687797147386,buy_yes,0.09588437400950875,0.808,0.288,1.0,1510194.2492670289,133295.4628
2026-03-26T13:04:09.404899,540844,Will bitcoin hit $1m before GTA VI?,0.487,0.607671872484302,buy_yes,0.09716499172435998,0.8052,0.29219999999999996,1.0,3766888.023672683,472051.51965
